director_name,actor_2_name,genres,actor_1_name,movie_title,actor_3_name,language
james cameron,joel david moore,action|adventure|fantasy|sci-fi,cch pounder,avatar,wes studi,english
gore verbinski,orlando bloom,action|adventure|fantasy,johnny depp,pirates of the caribbean: at world's end,jack davenport,english
sam mendes,rory kinnear,action|adventure|thriller,christoph waltz,spectre,stephanie sigman,english
christopher nolan,christian bale,action|thriller,tom hardy,the dark knight rises,joseph gordon-levitt,english
doug walker,rob walker,documentary,doug walker,star wars: episode vii - the force awakens,,english
andrew stanton,samantha morton,action|adventure|sci-fi,daryl sabara,john carter,polly walker,english
sam raimi,james franco,action|adventure|romance,j.k. simmons,spider-man 3,kirsten dunst,english
nathan greno,donna murphy,adventure|animation|comedy|family|fantasy|musical|romance,brad garrett,tangled,m.c. gainey,english
joss whedon,robert downey jr.,action|adventure|sci-fi,chris hemsworth,avengers: age of ultron,scarlett johansson,english
david yates,daniel radcliffe,adventure|family|fantasy|mystery,alan rickman,harry potter and the half-blood prince,rupert grint,english
zack snyder,lauren cohan,action|adventure|sci-fi,henry cavill,batman v superman: dawn of justice,alan d. purwin,english
bryan singer,marlon brando,action|adventure|sci-fi,kevin spacey,superman returns,frank langella,english
marc forster,mathieu amalric,action|adventure,giancarlo giannini,quantum of solace,rory kinnear,english
gore verbinski,orlando bloom,action|adventure|fantasy,johnny depp,pirates of the caribbean: dead man's chest,jack davenport,english
gore verbinski,ruth wilson,action|adventure|western,johnny depp,the lone ranger,tom wilkinson,english
zack snyder,christopher meloni,action|adventure|fantasy|sci-fi,henry cavill,man of steel,harry lennix,english
andrew adamson,pierfrancesco favino,action|adventure|family|fantasy,peter dinklage,the chronicles of narnia: prince caspian,damián alcázar,english
joss whedon,robert downey jr.,action|adventure|sci-fi,chris hemsworth,the avengers,scarlett johansson,english
rob marshall,sam claflin,action|adventure|fantasy,johnny depp,pirates of the caribbean: on stranger tides,stephen graham,english
barry sonnenfeld,michael stuhlbarg,action|adventure|comedy|family|fantasy|sci-fi,will smith,men in black 3,nicole scherzinger,english
peter jackson,adam brown,adventure|fantasy,aidan turner,the hobbit: the battle of the five armies,james nesbitt,english
marc webb,andrew garfield,action|adventure|fantasy,emma stone,the amazing spider-man,chris zylka,english
ridley scott,william hurt,action|adventure|drama|history,mark addy,robin hood,scott grimes,english
peter jackson,adam brown,adventure|fantasy,aidan turner,the hobbit: the desolation of smaug,james nesbitt,english
chris weitz,eva green,adventure|family|fantasy,christopher lee,the golden compass,kristin scott thomas,english
peter jackson,thomas kretschmann,action|adventure|drama|romance,naomi watts,king kong,evan parke,english
james cameron,kate winslet,drama|romance,leonardo dicaprio,titanic,gloria stuart,english
anthony russo,scarlett johansson,action|adventure|sci-fi,robert downey jr.,captain america: civil war,chris evans,english
peter berg,alexander skarsgård,action|adventure|sci-fi|thriller,liam neeson,battleship,tadanobu asano,english
colin trevorrow,judy greer,action|adventure|sci-fi|thriller,bryce dallas howard,jurassic world,omar sy,english
sam mendes,helen mccrory,action|adventure|thriller,albert finney,skyfall,rory kinnear,english
sam raimi,james franco,action|adventure|fantasy|romance,j.k. simmons,spider-man 2,kirsten dunst,english
shane black,jon favreau,action|adventure|sci-fi,robert downey jr.,iron man 3,don cheadle,english
tim burton,alan rickman,adventure|family|fantasy,johnny depp,alice in wonderland,anne hathaway,english
brett ratner,kelsey grammer,action|adventure|fantasy|sci-fi|thriller,hugh jackman,x-men: the last stand,daniel cudmore,english
dan scanlon,tyler labine,adventure|animation|comedy|family|fantasy,steve buscemi,monsters university,sean hayes,english
michael bay,kevin dunn,action|adventure|sci-fi,glenn morshower,transformers: revenge of the fallen,ramon rodriguez,english
michael bay,sophia myles,action|adventure|sci-fi,bingbing li,transformers: age of extinction,kelsey grammer,english
sam raimi,mila kunis,adventure|family|fantasy,tim holmes,oz the great and powerful,james franco,english
marc webb,andrew garfield,action|adventure|fantasy|sci-fi,emma stone,the amazing spider-man 2,b.j. novak,english
joseph kosinski,olivia wilde,action|adventure|sci-fi,jeff bridges,tron: legacy,james frain,english
john lasseter,thomas kretschmann,adventure|animation|comedy|family|sport,joe mantegna,cars 2,eddie izzard,english
martin campbell,temuera morrison,action|adventure|sci-fi,ryan reynolds,green lantern,taika waititi,english
lee unkrich,john ratzenberger,adventure|animation|comedy|family|fantasy,tom hanks,toy story 3,don rickles,english
mcg,bryce dallas howard,action|adventure|sci-fi,christian bale,terminator salvation,common,english
james wan,paul walker,action|crime|thriller,jason statham,furious 7,vin diesel,english
marc forster,brad pitt,action|adventure|horror|sci-fi|thriller,peter capaldi,world war z,mireille enos,english
bryan singer,peter dinklage,action|adventure|fantasy|sci-fi|thriller,jennifer lawrence,x-men: days of future past,hugh jackman,english
j.j. abrams,bruce greenwood,action|adventure|sci-fi,benedict cumberbatch,star trek into darkness,noel clarke,english
bryan singer,ewen bremner,adventure|fantasy,eddie marsan,jack the giant slayer,ralph brown,english
baz luhrmann,elizabeth debicki,drama|romance,leonardo dicaprio,the great gatsby,steve bisley,english
mike newell,richard coyle,action|adventure|fantasy|romance,jake gyllenhaal,prince of persia: the sands of time,reece ritchie,english
guillermo del toro,clifton collins jr.,action|adventure|sci-fi,charlie hunnam,pacific rim,larry joe campbell,english
michael bay,lester speight,action|adventure|sci-fi,glenn morshower,transformers: dark of the moon,kevin dunn,english
steven spielberg,ray winstone,action|adventure|fantasy,harrison ford,indiana jones and the kingdom of the crystal skull,jim broadbent,english
peter sohn,jack mcgraw,adventure|animation|comedy|family|fantasy,a.j. buckley,the good dinosaur,peter sohn,english
mark andrews,john ratzenberger,adventure|animation|comedy|family|fantasy,kelly macdonald,brave,julie walters,english
justin lin,melissa roxburgh,action|adventure|sci-fi|thriller,sofia boutella,star trek beyond,lydia wilson,english
andrew stanton,fred willard,adventure|animation|family|sci-fi,john ratzenberger,wall·e,jeff garlin,english
brett ratner,dana ivey,action|comedy|crime|thriller,tzi ma,rush hour 3,noémie lenoir,english
roland emmerich,liam james,action|adventure|sci-fi,oliver platt,2012,tom mccarthy,english
robert zemeckis,colin firth,animation|drama|family|fantasy,robin wright,a christmas carol,gary oldman,english
lana wachowski,mila kunis,action|adventure|sci-fi,channing tatum,jupiter ascending,eddie redmayne,english
david yates,alexander skarsgård,action|adventure|drama|romance,christoph waltz,the legend of tarzan,casper crump,english
andrew adamson,kiran shah,adventure|family|fantasy,jim broadbent,"the chronicles of narnia: the lion, the witch and the wardrobe",shane rangi,english
bryan singer,michael fassbender,action|adventure|sci-fi,jennifer lawrence,x-men: apocalypse,tye sheridan,english
